title	level	works_count	cited_by_count	page_edits	len	views	references
Artificial_intelligence	3	1401	16889	9929.0	224721	536301.0	596.0
Mathematics_education	1	3535654	13212094	1107.0	44675	17607.0	42.0
Mathematics_education	4	2847	21697	1107.0	44675	17607.0	42.0
Mathematics_education	2	2055	6349	1107.0	44675	17607.0	42.0
Mathematics_education	3	1268	16698	1107.0	44675	17607.0	42.0
Endocrinology	1	3086201	68910323	798.0	22328	137998.0	19.0
Population	2	2958550	56535518	3476.0	16350	82029.0	20.0
Composite_material	1	2954996	32466286	2164.0	78990	67106.0	34.0
Cell_biology	1	2822017	102059221	1422.0	25534	37715.0	22.0
Cell_biology	2	58315	598872	1422.0	25534	37715.0	22.0
Cell_biology	3	4079	126534	1422.0	25534	37715.0	22.0
Cell_biology	2	1755	15053	1422.0	25534	37715.0	22.0
Cell_biology	2	544	7155	1422.0	25534	37715.0	22.0
Optics	1	2600255	26719545	1749.0	107922	52178.0	90.0
Chemical_engineering	1	2512222	48586104	2387.0	20939	52057.0	17.0
Chemical_engineering	2	778	2768	2387.0	20939	52057.0	17.0
Immunology	1	2480549	56186607	854.0	36262	47289.0	55.0
Immunology	3	3511	35066	854.0	36262	47289.0	55.0
Immunology	3	1427	10081	854.0	36262	47289.0	55.0
Immunology	3	1044	7281	854.0	36262	47289.0	55.0
Biochemistry	1	2425082	74056809	2550.0	56665	81494.0	45.0
Biochemistry	2	113	2366	2550.0	56665	81494.0	45.0
Process_(computing)	2	2377328	18668002	615.0	15703	35880.0	3.0
Process_(computing)	2	465	5295	615.0	15703	35880.0	3.0
Algorithm	1	2304704	29155592	4665.0	113100	232512.0	69.0
Algorithm	2	8274	67507	4665.0	113100	232512.0	69.0
Intensive_care_medicine	1	2244569	23247812	594.0	34743	15352.0	28.0
Intensive_care_medicine	2	81987	1706282	594.0	34743	15352.0	28.0
Intensive_care_medicine	2	46369	637338	594.0	34743	15352.0	28.0
Intensive_care_medicine	3	14891	193504	594.0	34743	15352.0	28.0
Botany	1	2229115	27821166	3916.0	128861	70170.0	151.0
Botany	2	15345	53440	3916.0	128861	70170.0	151.0
Botany	2	4977	51277	3916.0	128861	70170.0	151.0
Glossary_of_archaeology	2	2224741	30391646	148.0	21204	2747.0	12.0
Glossary_of_archaeology	2	20323	258435	148.0	21204	2747.0	12.0
Mechanics	1	2203650	24855634	1030.0	22514	33623.0	6.0
Nanotechnology	1	2185655	49006854	7029.0	86700	123353.0	85.0
Optoelectronics	1	2142489	25454145	193.0	3234	16458.0	
Pathology	1	2139911	34847902	1959.0	49069	79611.0	23.0
Pathology	2	627	2004	1959.0	49069	79611.0	23.0
Ecology	1	2127031	41446960	6172.0	209869	98992.0	259.0
Ecology	2	31834	803630	6172.0	209869	98992.0	259.0
Pharmacology	1	2080503	33250822	1667.0	41945	65706.0	26.0
Gynaecology	1	2039976	10040790	1341.0	23432	84319.0	18.0
Gynaecology	2	1033	4013	1341.0	23432	84319.0	18.0
Genetics	1	2027364	59682566	4964.0	96945	123040.0	101.0
World_Wide_Web	1	1997469	6690415	8554.0	95121	348926.0	102.0
World_Wide_Web	3	699	2142	8554.0	95121	348926.0	102.0
Virology	1	1957278	27866305	626.0	37994	36844.0	20.0
Computational_biology	1	1956907	34512778	413.0	22873	21746.0	18.0
Neuroscience	1	1919757	50161848	2103.0	75028	96169.0	89.0
Analytical_Chemistry_(journal)	2	1890888	31072297	99.0	2966	1540.0	1.0
Library_science	1	1867683	2357353	1281.0	70742	21262.0	56.0
Food_science	1	1826939	20714413	827.0	12036	21651.0	7.0
Medical_education	1	1820282	8324992	481.0	47257	11632.0	55.0
Data_science	1	1818116	12862694	1220.0	17796	170087.0	37.0
Chromatography	1	1815256	29195405	3675.0	53993	105423.0	23.0
Chromatography	3	9928	135995	3675.0	53993	105423.0	23.0
Chromatography	2	6233	73798	3675.0	53993	105423.0	23.0
Radiology	1	1812153	19113684	2290.0	43262	49717.0	29.0
Pedagogy	1	1792447	9078982	1162.0	44158	123938.0	35.0
Microbiology	1	1783956	29893877	2047.0	30909	57850.0	33.0
Microbiology	2	362	9347	2047.0	30909	57850.0	33.0
Linguistics	1	1762826	9867773	3854.0	76757	216874.0	74.0
Social_psychology	1	1756198	32462392	1979.0	72293	57244.0	58.0
Anesthesia	1	1747406	24058277	3142.0	75229	100436.0	55.0
Anesthesia	3	1468	15849	3142.0	75229	100436.0	55.0
Politics	2	1746155	12723002	6081.0	75348	164472.0	60.0
Politics	3	1907	32904	6081.0	75348	164472.0	60.0
Work_(physics)	2	1706793	12950853	2287.0	41565	97784.0	5.0
Metallurgy	1	1700945	12970792	1473.0	28372	58275.0	12.0
Metallurgy	2	379	848	1473.0	28372	58275.0	12.0
Horticulture	1	1697078	10256928	1516.0	14169	83322.0	10.0
Art_history	1	1687155	1987904	1185.0	44507	28880.0	4.0
Cancer_research	1	1677126	37639325	942.0	18695	5553.0	17.0
Disease	2	1642714	27274849	5123.0	57469	151054.0	36.0
Disease	3	6482	211782	5123.0	57469	151054.0	36.0
Disease	3	2165	43511	5123.0	57469	151054.0	36.0
Disease	3	1403	28983	5123.0	57469	151054.0	36.0
Disease	2	1199	8660	5123.0	57469	151054.0	36.0
Disease	3	1055	28389	5123.0	57469	151054.0	36.0
Zoology	1	1641775	18294436	2898.0	36692	54032.0	19.0
Gastroenterology	1	1611495	23941210	578.0	11378	52739.0	1.0
Pediatrics	1	1591535	21166128	2399.0	27923	56258.0	19.0
Pediatrics	2	78	338	2399.0	27923	56258.0	19.0
Oncology	1	1586106	20161225	1287.0	55054	89414.0	108.0
Stereochemistry	1	1569840	26415863	248.0	9740	18247.0	3.0
Anatomy	1	1551997	24094886	2526.0	73119	92849.0	78.0
Family_medicine	1	1547240	12774078	595.0	54462	26626.0	41.0
Family_medicine	2	8171	32902	595.0	54462	26626.0	41.0
Family_medicine	2	887	3809	595.0	54462	26626.0	41.0
Condensed_matter_physics	1	1532189	24685558	641.0	58682	31799.0	74.0
Structural_engineering	1	1530105	9291473	2032.0	35811	29906.0	6.0
Control_theory_(sociology)	3	1527388	14067014	137.0	3991	6987.0	1.0
Crystallography	1	1457584	26927133	744.0	25690	26621.0	4.0
Statistics	1	1454287	22559198	5060.0	72242	181529.0	42.0
Statistics	2	2626	8956	5060.0	72242	181529.0	42.0
Cancer	2	1453394	26137541	6469.0	176779	297656.0	242.0
Cancer	3	25746	554775	6469.0	176779	297656.0	242.0
Public_relations	1	1452658	12198549	3777.0	52436	106512.0	46.0
Public_relations	2	3970	47124	3777.0	52436	106512.0	46.0
Quality_(philosophy)	2	1442109	10168523	226.0	8971	5623.0	4.0
State_(computer_science)	2	1419829	8231084	177.0	8397	11364.0	1.0
Environmental_health	1	1409142	16470565	690.0	21566	32698.0	11.0
Agronomy	1	1405886	13366853	648.0	7328	38366.0	4.0
Computer_vision	1	1400809	13998793	1566.0	56221	70852.0	52.0
Developmental_psychology	1	1398182	26526533	1936.0	104284	62050.0	82.0
Organic_chemistry	1	1376712	21268081	2808.0	36598	87906.0	10.0
Applied_mathematics	1	1364700	19114321	745.0	20201	41424.0	3.0
Field_(mathematics)	2	1358877	13137532	1467.0	89009	69691.0	47.0
Pure_mathematics	1	1351113	12340977	447.0	16364	33352.0	4.0
Power_(physics)	2	1334695	8605177	1579.0	14220	144511.0	5.0
Mathematical_analysis	1	1320504	15892707	730.0	41205	42537.0	31.0
Literature	1	1320444	2916892	3902.0	73049	114967.0	50.0
Archaeology	1	1298780	3900587	4575.0	105968	98349.0	60.0
Environmental_chemistry	1	1288423	21447305	425.0	13024	10378.0	1.0
Clinical_psychology	1	1283826	26951561	1796.0	76877	51388.0	55.0
Clinical_psychology	2	1683	12160	1796.0	76877	51388.0	55.0
Atomic_physics	1	1281472	19915426	414.0	8711	10067.0	6.0
Electrical_engineering	1	1278451	6960838	4510.0	85731	121320.0	138.0
Dermatology	1	1272473	8597497	1910.0	22352	44837.0	29.0
Dermatology	2	3266	10830	1910.0	22352	44837.0	29.0
Dermatology	3	1760	10904	1910.0	22352	44837.0	29.0
Dermatology	2	1341	8432	1910.0	22352	44837.0	29.0
Gerontology	1	1267176	15195977	1403.0	33693	34508.0	46.0
Marketing	1	1253795	13527662	8880.0	54369	154253.0	39.0
Marketing	2	3330	63669	8880.0	54369	154253.0	39.0
Inorganic_chemistry	1	1253773	25902355	646.0	29247	21311.0	8.0
Electronic_engineering	1	1251963	9345546	1550.0	32919	44064.0	14.0
Demography	1	1251127	21399155	1086.0	29124	81399.0	8.0
Demography	2	77591	1017176	1086.0	29124	81399.0	8.0
Demography	3	4541	41218	1086.0	29124	81399.0	8.0
Psychiatry	1	1250762	22666526	3687.0	86726	64962.0	131.0
Econometrics	1	1248342	20710057	958.0	21627	37516.0	12.0
Econometrics	2	10697	116879	958.0	21627	37516.0	12.0
Gene	2	1233033	35610719	4185.0	105644	107303.0	121.0
Gene	4	2728	32616	4185.0	105644	107303.0	121.0
Traditional_medicine	1	1228394	5325310	833.0	28510	46650.0	31.0
Traditional_medicine	2	3700	78183	833.0	28510	46650.0	31.0
Nursing	1	1222895	7347093	3743.0	93493	77597.0	64.0
Nursing	2	49885	174852	3743.0	93493	77597.0	64.0
Nursing	2	19752	139942	3743.0	93493	77597.0	64.0
Nursing	2	14238	81589	3743.0	93493	77597.0	64.0
Nursing	2	3423	8099	3743.0	93493	77597.0	64.0
Order_(exchange)	2	1212686	8410936	362.0	18176	13483.0	3.0
Pattern_recognition_(psychology)	2	1202338	16054403	225.0	35561	16752.0	
China	2	1194437	5420654	18565.0	330317	1791045.0	592.0
Function_(biology)	2	1185329	16368140	168.0	14778	6346.0	25.0
Function_(biology)	2	1037	15708	168.0	14778	6346.0	25.0
Knowledge_management	1	1164663	12297214	3980.0	43636	45557.0	49.0
Knowledge_management	2	1388	16114	3980.0	43636	45557.0	49.0
Government_(linguistics)	2	1163805	6206686	125.0	8928	2256.0	
Mathematical_optimization	1	1157051	16955422	1528.0	50599	70684.0	31.0
Mathematical_optimization	2	19013	166112	1528.0	50599	70684.0	31.0
Mathematical_optimization	2	4048	32451	1528.0	50599	70684.0	31.0
Mathematical_optimization	3	897	10647	1528.0	50599	70684.0	31.0
General_surgery	1	1138745	5783729	487.0	11009	32782.0	2.0
Set_(abstract_data_type)	2	1135235	16887338	345.0	25073	10717.0	2.0
Information_retrieval	1	1124068	6453656	1110.0	27278	41646.0	13.0
Waste_management	1	1115881	8346363	3814.0	57572	144286.0	29.0
Waste_management	2	9719	51916	3814.0	57572	144286.0	29.0
Waste_management	3	9353	49329	3814.0	57572	144286.0	29.0
Statistical_physics	1	1115616	18445630	201.0	8204	9341.0	3.0
Animal_science	1	1084843	11846179	340.0	5655	7061.0	2.0
Astrophysics	1	1083456	12608778	1810.0	29441	57487.0	30.0
Astrophysics	4	1516	33073	1810.0	29441	57487.0	30.0
Meteorology	1	1069249	9056886	2970.0	70637	52918.0	39.0
Meteorology	3	1305	18658	2970.0	70637	52918.0	39.0
Acoustics	1	1059117	6941695	1113.0	38536	31685.0	29.0
Acoustics	2	2770	20306	1113.0	38536	31685.0	29.0
Biophysics	1	1055339	31378403	809.0	15711	23630.0	21.0
Theology	1	1049710	642269	2298.0	51671	80560.0	22.0
Theology	3	242	455	2298.0	51671	80560.0	22.0
Service_(business)	2	1044562	5575954	63.0	6220	4677.0	1.0
Computer_security	1	1042834	5736339	4284.0	176196	127655.0	202.0
Law_and_economics	1	1041023	3957077	680.0	38169	11730.0	45.0
Oceanography	1	1040828	12154288	2594.0	39763	29612.0	19.0
Oceanography	2	2288	13378	2594.0	39763	29612.0	19.0
Oceanography	2	1518	3089	2594.0	39763	29612.0	19.0
Computer_network	1	1040040	8840370	8710.0	81743	250597.0	49.0
Computer_network	2	763	5649	8710.0	81743	250597.0	49.0
Control_(management)	2	1032140	7773944	470.0	41764	32517.0	7.0
Combinatorics	1	1027982	9153351	1134.0	27072	56345.0	13.0
Combinatorics	2	773	13283	1134.0	27072	56345.0	13.0
Thermodynamics	1	1025553	17495282	4057.0	40829	116912.0	30.0
Thermodynamics	2	5346	90693	4057.0	40829	116912.0	30.0
Thermodynamics	5	1123	19417	4057.0	40829	116912.0	30.0
Remote_sensing	1	1014160	7524741	1319.0	43923	56881.0	28.0
Remote_sensing	3	327	2725	1319.0	43923	56881.0	28.0
Index_(typography)	2	1004945	4185172	158.0	10603	5034.0	
Catalysis	2	1003503	22133373	1797.0	41875	58369.0	19.0
Cognitive_psychology	1	1000472	24158733	1141.0	46110	52650.0	22.0
Forestry	1	999172	3671999	1701.0	44094	30533.0	29.0
Physical_medicine_and_rehabilitation	1	995763	10734907	768.0	9938	17897.0	8.0
Hydrology_(agriculture)	2	995387	9960604	73.0	16845	836.0	2.0
Data_mining	1	972155	13468544	4220.0	44364	106253.0	29.0
Data_mining	3	956	33192	4220.0	44364	106253.0	29.0
Advertising	1	958119	5030139	8061.0	123651	133098.0	97.0
Value_(mathematics)	2	952616	7921844	163.0	1941	3796.0	
Visual_arts	1	941446	1180793	1525.0	33831	83787.0	6.0
Process_management	1	936846	7406697	266.0	44	1178.0	
Test_(biology)	2	933464	7316219	80.0	5814	2926.0	1.0
Aesthetics	1	929036	3610922	3534.0	70601	129585.0	51.0
Aesthetics	2	3182	5628	3534.0	70601	129585.0	51.0
Aesthetics	2	1782	6777	3534.0	70601	129585.0	51.0
Combinatorial_chemistry	1	927717	16293353	258.0	44501	7795.0	11.0
Combinatorial_chemistry	2	1249	33257	258.0	44501	7795.0	11.0
Medicinal_chemistry	1	922591	10687367	524.0	14673	23552.0	9.0
Perspective_(graphical)	2	916854	9317679	1687.0	43467	53692.0	27.0
Psychoanalysis	1	915637	3579608	3966.0	131522	101744.0	79.0
Psychoanalysis	3	3495	27496	3966.0	131522	101744.0	79.0
Psychoanalysis	2	478	1200	3966.0	131522	101744.0	79.0
Production_(economics)	2	913091	6123799	323.0	45992	51008.0	
Production_(economics)	3	2142	51695	323.0	45992	51008.0	
Production_(economics)	3	319	1273	323.0	45992	51008.0	
Public_administration	1	909058	4383130	1626.0	74739	93319.0	31.0
Public_administration	2	7299	74785	1626.0	74739	93319.0	31.0
Public_administration	3	382	2110	1626.0	74739	93319.0	31.0
Obstetrics	1	903165	8861847	1095.0	31349	39313.0	2.0
Obstetrics	4	768	6452	1095.0	31349	39313.0	2.0
Computer_graphics	1	900698	3352640	1449.0	71124	60870.0	16.0
Polymer_chemistry	1	896367	16305244	282.0	12432	7765.0	7.0
Nuclear_chemistry	1	893156	12428129	521.0	36213	13646.0	16.0
Mechanical_engineering	1	885793	4476854	5530.0	56773	148056.0	29.0
Mechanical_engineering	2	2916	13506	5530.0	56773	148056.0	29.0
Mechanical_engineering	2	793	542	5530.0	56773	148056.0	29.0
Environmental_planning	1	882254	5217311	242.0	45820	7445.0	5.0
Dentistry	1	878622	7492892	4296.0	48700	51559.0	61.0
Dentistry	2	43423	317187	4296.0	48700	51559.0	61.0
Dentistry	2	10996	43178	4296.0	48700	51559.0	61.0
Dentistry	2	7249	42103	4296.0	48700	51559.0	61.0
Dentistry	2	4862	16168	4296.0	48700	51559.0	61.0
Dentistry	3	2773	15702	4296.0	48700	51559.0	61.0
Dentistry	2	1763	6819	4296.0	48700	51559.0	61.0
Dentistry	2	571	4903	4296.0	48700	51559.0	61.0
Dentistry	3	462	4876	4296.0	48700	51559.0	61.0
Fishery	1	877326	8798819	714.0	15471	22451.0	6.0
Fishery	3	5935	35889	714.0	15471	22451.0	6.0
Scale_(ratio)	2	875105	10901634	238.0	3885	6468.0	1.0
Ion	2	870618	13742227	3245.0	27399	90771.0	13.0
Gender_studies	1	867244	5749125	1579.0	58575	50480.0	84.0
Geotechnical_engineering	1	851973	5263463	805.0	46548	31659.0	10.0
Geotechnical_engineering	2	1417	5666	805.0	46548	31659.0	10.0
Criminology	1	846182	4577360	1803.0	66732	62207.0	69.0
Engineering_ethics	1	840502	5157028	403.0	33615	18229.0	13.0
Nuclear_physics	1	838226	6874073	1764.0	37681	37480.0	17.0
Nuclear_physics	2	3785	7028	1764.0	37681	37480.0	17.0
Operations_research	1	832932	5703673	1246.0	48464	68248.0	44.0
Perception	2	830789	11720646	1646.0	81976	92111.0	64.0
Space_(punctuation)	2	828738	5791695	700.0	23450	19048.0	14.0
Nonlinear_system	2	826125	10568559	695.0	20172	37447.0	10.0
Flow_(mathematics)	2	816216	8086772	125.0	13667	5899.0	
Health_care	2	813978	8964060	4021.0	38482	96260.0	22.0
Health_care	2	46154	139400	4021.0	38482	96260.0	22.0
Health_care	3	30650	170918	4021.0	38482	96260.0	22.0
Health_care	2	30426	281008	4021.0	38482	96260.0	22.0
Health_care	2	19923	164973	4021.0	38482	96260.0	22.0
Health_care	3	8469	61344	4021.0	38482	96260.0	22.0
Health_care	3	6893	38913	4021.0	38482	96260.0	22.0
Health_care	3	4063	16819	4021.0	38482	96260.0	22.0
Health_care	3	3576	16507	4021.0	38482	96260.0	22.0
Health_care	4	2135	37996	4021.0	38482	96260.0	22.0
Health_care	3	2056	14967	4021.0	38482	96260.0	22.0
Laser	2	810614	7727904	5175.0	99097	189177.0	70.0
Laser	3	24212	179736	5175.0	99097	189177.0	70.0
Laser	3	4840	45340	5175.0	99097	189177.0	70.0
Laser	3	2455	20330	5175.0	99097	189177.0	70.0
Laser	3	1817	13278	5175.0	99097	189177.0	70.0
Medical_emergency	1	806482	4827179	320.0	8158	13780.0	2.0
Range_(aeronautics)	2	805945	13033999	164.0	8823	8909.0	
Geochemistry	1	789823	9725865	518.0	54084	7749.0	43.0
Nuclear_medicine	1	788810	9313453	1189.0	39227	32804.0	20.0
Nuclear_medicine	2	6899	42365	1189.0	39227	32804.0	20.0
Nuclear_medicine	2	1209	13481	1189.0	39227	32804.0	20.0
Nuclear_medicine	2	1033	7533	1189.0	39227	32804.0	20.0
Environmental_resource_management	1	788674	7902135	521.0	38144	9152.0	52.0
Media_studies	1	786796	2236981	1165.0	31553	17843.0	8.0
Media_studies	2	1175	7071	1165.0	31553	17843.0	8.0
Diabetes	2	778796	13570445	8278.0	111607	261445.0	135.0
Diabetes	4	631	53229	8278.0	111607	261445.0	135.0
Agriculture	2	778494	5119440	7316.0	146930	228347.0	183.0
Agriculture	3	13332	84299	7316.0	146930	228347.0	183.0
Agriculture	3	4046	6989	7316.0	146930	228347.0	183.0
Agriculture	3	1172	6893	7316.0	146930	228347.0	183.0
Automotive_engineering	1	778450	3602873	1058.0	17406	30891.0	6.0
Evolutionary_biology	1	775509	17188869	775.0	21088	27961.0	23.0
Political_economy	1	774255	6406746	1150.0	48602	53934.0	7.0
Human–computer_interaction	1	772058	6275837	1891.0	46307	50381.0	31.0
Economic_growth	1	772047	4863797	3366.0	115455	63783.0	118.0
Economic_growth	2	3665	102150	3366.0	115455	63783.0	118.0
Telecommunications	1	771153	3821779	28.0	493	25589.0	
Telecommunications	2	1745	19176	28.0	493	25589.0	
Software	2	762733	7176536	5753.0	34037	185686.0	16.0
Software	2	2621	12400	5753.0	34037	185686.0	16.0
Software	3	184	179	5753.0	34037	185686.0	16.0
Aeronautics	1	759876	1354738	889.0	20126	23940.0	13.0
Machine_learning	1	758108	11284098	2904.0	91157	342805.0	68.0
Machine_learning	2	3264	111229	2904.0	91157	342805.0	68.0
Mineralogy	1	756911	11578339	812.0	36168	11242.0	47.0
Forensic_engineering	1	750924	2432912	438.0	16945	6130.0	2.0
Climatology	1	744443	11572425	674.0	23000	16748.0	15.0
Climatology	3	4728	52145	674.0	23000	16748.0	15.0
Distributed_computing	1	741133	8138639	1538.0	43431	66826.0	30.0
Natural_language_processing	1	738363	6259554	1452.0	49818	149691.0	15.0
Classical_mechanics	1	738134	11495953	1370.0	46325	73608.0	13.0
Orthodontics	1	738075	6008803	1721.0	29884	34843.0	31.0
Class_(philosophy)	2	730280	6124176	66.0	3359	1945.0	1.0
Lock_and_key	2	728042	6048549	1408.0	25860	26228.0	15.0
Lock_and_key	3	4203	43019	1408.0	25860	26228.0	15.0
Finance	1	723585	3711726	3998.0	41103	106367.0	10.0
Photochemistry	1	723362	16811961	387.0	20721	20941.0	14.0
Polymer	2	721826	15208130	4239.0	72479	137480.0	35.0
Polymer	2	4161	85365	4239.0	72479	137480.0	35.0
Polymer	3	2529	69801	4239.0	72479	137480.0	35.0
Polymer	3	953	29184	4239.0	72479	137480.0	35.0
Genealogy	1	718465	1507064	2701.0	96571	40364.0	85.0
Volume_(thermodynamics)	2	718026	3716507	101.0	14388	2872.0	3.0
Incidence_(geometry)	2	715853	14055813	75.0	12319	1613.0	
Ophthalmology	1	703830	5916131	1828.0	41286	112914.0	32.0
Environmental_ethics	1	699641	3225302	487.0	36438	21970.0	11.0
Operations_management	1	694684	3030163	1169.0	68473	63053.0	17.0
Subject_(documents)	2	692110	2987322	95.0	20111	756.0	
Astrobiology	1	690638	3598356	2083.0	122665	38369.0	180.0
Cognition	2	690246	15843108	1501.0	33161	82835.0	24.0
Cognition	3	707	8509	1501.0	33161	82835.0	24.0
Transportation_engineering	1	689756	2506857	453.0	7453	12368.0	1.0
Audiology	1	687284	11155947	659.0	15379	11298.0	14.0
Audiology	3	1094	7768	659.0	15379	11298.0	14.0
Metal	2	681867	12798513	4493.0	78315	118308.0	27.0
Nuclear_engineering	1	681762	2907158	1307.0	9873	9757.0	7.0
Atmospheric_science	1	680128	11685153	277.0	13677	6026.0	9.0
Point_(geometry)	2	673485	5428024	554.0	9770	18110.0	6.0
Identification_(biology)	2	666477	7009330	44.0	3452	2368.0	3.0
Identification_(biology)	2	2450	36369	44.0	3452	2368.0	3.0
Process_engineering	1	660176	5146301	269.0	13128	15501.0	10.0
Electron	2	655379	9835720	4914.0	135931	151528.0	1.0
Discrete_mathematics	1	650975	6899951	993.0	28956	81040.0	22.0
Yield_(engineering)	2	649943	7422028	472.0	19323	55033.0	19.0
Distribution_(mathematics)	2	644946	5591036	1597.0	122070	26971.0	16.0
Product_(mathematics)	2	644693	5896145	533.0	18254	24722.0	3.0
Immune_system	2	641397	17545539	5218.0	114846	131646.0	179.0
Immune_system	3	4868	92479	5218.0	114846	131646.0	179.0
Immune_system	3	3275	151104	5218.0	114846	131646.0	179.0
Immune_system	3	1005	13738	5218.0	114846	131646.0	179.0
Immune_system	3	679	19636	5218.0	114846	131646.0	179.0
Accounting	1	640726	4106827	4427.0	45628	94884.0	54.0
Pregnancy	2	639709	8813284	6890.0	133187	215684.0	155.0
Pregnancy	4	14620	107747	6890.0	133187	215684.0	155.0
Pregnancy	4	8362	55306	6890.0	133187	215684.0	155.0
Pregnancy	4	6288	106486	6890.0	133187	215684.0	155.0
Pregnancy	4	5569	42498	6890.0	133187	215684.0	155.0
Pregnancy	3	1934	9284	6890.0	133187	215684.0	155.0
Pregnancy	4	1502	3261	6890.0	133187	215684.0	155.0
COVID-19	4	634430	3518044	6799.0	243465	1610960.0	330.0
Management	1	633769	2319302	4522.0	59887	140493.0	12.0
Management	2	5715	2903	4522.0	59887	140493.0	12.0
Management	2	1976	19177	4522.0	59887	140493.0	12.0
Management	2	656	2589	4522.0	59887	140493.0	12.0
Task_(project_management)	2	632980	9100080	58.0	2249	5332.0	
Database	1	630808	3911527	8148.0	72556	177867.0	12.0
Database	2	557	7989	8148.0	72556	177867.0	12.0
Database	2	177	1006	8148.0	72556	177867.0	12.0
Multimedia	1	627903	3167920	3131.0	34727	105125.0	17.0
Antibody	2	626666	12528203	2505.0	98788	192330.0	111.0
Antibody	3	11837	158671	2505.0	98788	192330.0	111.0
Antibody	4	2411	78836	2505.0	98788	192330.0	111.0
Antibody	3	1826	85424	2505.0	98788	192330.0	111.0
Antibody	3	1704	22813	2505.0	98788	192330.0	111.0
Antibody	3	1640	60039	2505.0	98788	192330.0	111.0
Chemical_physics	1	620917	15492067	126.0	4636	5088.0	1.0
Theoretical_computer_science	1	619022	9973493	376.0	43494	28141.0	21.0
Veterinary_medicine	1	615590	4921401	1264.0	26124	26478.0	51.0
Veterinary_medicine	2	9433	79827	1264.0	26124	26478.0	51.0
Receptor_(biochemistry)	2	613649	20533398	743.0	25315	28093.0	13.0
Engineering_management	1	607726	1474999	627.0	26363	16233.0	18.0
Business_administration	1	604775	494445	1101.0	7156	68595.0	
Business_administration	2	13246	51142	1101.0	7156	68595.0	
Business_administration	3	793	5315	1101.0	7156	68595.0	
Energy_(signal_processing)	2	598602	5331974	70.0	3292	7167.0	1.0
Economic_history	1	597656	1409173	703.0	48354	19014.0	43.0
Medical_physics	1	596906	4274750	635.0	22698	12394.0	17.0
Action_(physics)	2	596726	5855669	517.0	19263	19869.0	
In_vitro	2	584457	9837564	410.0	15856	48760.0	10.0
